year,round1,round2,source
2015,89000000,,MoHFW Press release (2019)
2016,179000000,120000000,MoHFW Press release (2019)
2017,260000000,228000000,MoHFW Press release (2019)
2018,267000000,227000000,MoHFW Press release (2019)
2019,250000000,,MoHFW Annual Report (2019-20)
2020,110200000,116600000,MoHFW Press Release Achievements (2020)
2021,177500000,209400000,MoHFW Press Release Achievements (2021)
2023,242100000,274300000,MoHFW Initiaves and Achievements 2023
2024,280900000,,MoHFW Initiaves and Achievements 2024 (only had coverage from 1st round of that year)
