year,round1,round2
2010,NA,NA
2011,NA,NA
2012,NA,NA
2013,NA,NA
2014,NA,NA
2015,89000000,NA
2016,179000000,120000000
2017,260000000,228000000
2018,267000000,227000000
2019,250000000,NA
2020,110200000,116600000
2021,177500000,209400000
2022,177500000,NA
2023,242100000,274300000
2024,280900000,NA
2025,280900000,NA
2026,280900000,NA
2027,280900000,NA
2028,280900000,NA
2029,280900000,NA
2030,280900000,NA
2031,280900000,NA
2032,280900000,NA
2033,280900000,NA
2034,280900000,NA
2035,280900000,NA
