year,unit_cost,notes,source
2012,230.77,"D20g, $30 up front in the first month, then $0.6/day for one year",1. IDInsight (2012)
2016,180,D30,
2017,171,"D30, $25 down and $0.40 per day for one year",Source
2019,130,"D100, observed prices July 2018-Oct 2020",Source Fig. 3
2025,100,D100,E-mail from d.light 2025
