year,sales_cumulative
2010,0
2011,0
2012,31944
2013,63889
2014,95834
2015,227604
2016,273125
2017,382375
2018,592135
2019,919885
2020,1182085
2021,1466135
2022,1837585
2023,2209035
2024,2580485
2025,2951935
2026,3323385
2027,3694835
2028,4066285
2029,4437735
2030,4809185
2031,5180635
2032,5552085
2033,5923535
2034,6294985
2035,6666435
