year,odisha,one_acre_fund,india
2017,1.38,1.38,
2018,2.13,2.13,
2019,1.06,1.06,
2020,0.62,0.62,
2021,0.49,0.49,
2022,0.20,0.20,
2023,0.07,0.07,
2024,0.01,0.01,0.16
2025,0.01,0.01,0.04
2026,0.01,0.01,0.04
2027,0.01,0.01,0.04
2028,0.01,0.01,0.04
2029,0.01,0.01,0.04
2030,0.01,0.01,0.04
2031,0.01,0.01,0.04
2032,0.01,0.01,0.04
2033,0.01,0.01,0.04
2034,0.01,0.01,0.04
2035,0.01,0.01,0.04
