year,av_flws_per_calendar_year
2010,0.00
2011,0.00
2012,2171.00
2013,7063.00
2014,13879.00
2015,22590.00
2016,32021.00
2017,59207.83
2018,109385.75
2019,366828.75
2020,625445.67
2021,739264.00
2022,841700.50
2023,1213321.50
2024,1213321.50
2025,1213321.50
2026,1213321.50
2027,1213321.50
2028,1213321.50
2029,1213321.50
2030,1213321.50
2031,1213321.50
2032,1213321.50
2033,1213321.50
2034,1213321.50
2035,1213321.50
